"customer_id","first_name","last_name","address","apt_number","state","city","zip_code","phone_number","email_address","membership_flag","country_id","campaign_id","sent_date","opened","clicked","converted","conversion_amount","unsubscribe","customer_campaign_id"
13758,Sarah,Lewis,"267 Maple Road",Apt 9A,Greater Manchester,Manchester,M1 2AB,+44 7010300922,sarah.lewis13758@example.com,"1",2,,,,,,,,
13694,Emily,Roberts,"278 Church Court",Apt 14A,Greater London,London,SW1A 1AA,+44 7010308841,emily.roberts13694@example.com,"1",2,,,,,,,,
15983,Noah,Walker,"864 Mill Avenue",Apt 2C,Greater London,London,SW1A 1AA,+44 7010316760,noah.walker15983@example.com,"1",2,,,,,,,,
14849,Lucas,Green,"265 Queen Way",Apt 14B,West Midlands,Birmingham,B1 1AA,+44 7010324679,lucas.green14849@example.com,"1",2,,,,,,,,
17968,Benjamin,Martin,"35 Church Way",Apt 14B,Greater Manchester,Manchester,M1 2AB,+44 7010332598,benjamin.martin17968@example.com,"0",2,,,,,,,,
16210,Benjamin,Evans,"49 Garden Lane","",West Midlands,Birmingham,B1 1AA,+44 7010340517,benjamin.evans16210@example.com,"1",2,,,,,,,,
17897,Samuel,Young,"902 Station Lane","",West Yorkshire,Leeds,LS1 4DY,+44 7010348436,samuel.young17897@example.com,"0",2,,,,,,,,
17377,Lily,Scott,"81 Market Way",Apt 13C,Greater Manchester,Manchester,M1 2AB,+44 7010356355,lily.scott17377@example.com,"1",2,,,,,,,,
16552,Ava,Lewis,"995 Market Street","",Greater London,London,SW1A 1AA,+44 7010364274,ava.lewis16552@example.com,"1",2,,,,,,,,
17181,Samuel,King,"533 Queen Terrace",Apt 7C,West Yorkshire,Leeds,LS1 4DY,+44 7010372193,samuel.king17181@example.com,"1",2,,,,,,,,
17951,Clara,Mitchell,"957 Bridge Lane",Apt 3C,Greater London,London,SW1A 1AA,+44 7010380112,clara.mitchell17951@example.com,"1",2,,,,,,,,
14729,Alexander,Thomas,"317 Main Drive",Apt 11D,Merseyside,Liverpool,L1 8JQ,+44 7010388031,alexander.thomas14729@example.com,"0",2,,,,,,,,
12748,Ruby,Roberts,"690 Cedar Avenue",Apt 10D,West Midlands,Birmingham,B1 1AA,+44 7010395950,ruby.roberts12748@example.com,"1",2,,,,,,,,
15012,James,Young,"450 Spring Way",Apt 15B,Merseyside,Liverpool,L1 8JQ,+44 7010403869,james.young15012@example.com,"1",2,,,,,,,,
12868,Jacob,Wright,"300 Main Way","",Merseyside,Liverpool,L1 8JQ,+44 7010411788,jacob.wright12868@example.com,"0",2,,,,,,,,
17572,Sarah,Young,"213 River Street","",Greater Manchester,Manchester,M1 2AB,+44 7010419707,sarah.young17572@example.com,"1",2,,,,,,,,
14078,Maya,Wilson,"917 Spring Lane",Apt 13D,West Yorkshire,Leeds,LS1 4DY,+44 7010427626,maya.wilson14078@example.com,"1",2,,,,,,,,
14001,Isabella,Walker,"15 Queen Terrace","",West Yorkshire,Leeds,LS1 4DY,+44 7010435545,isabella.walker14001@example.com,"0",2,,,,,,,,
12662,Olivia,Morris,"878 Queen Court","",North Rhine-Westphalia,Cologne,"50667",+49 1510443464,olivia.morris12662@example.com,"1",6,,,,,,,,
15525,Adam,Collins,"619 Park Court",Apt 24D,West Yorkshire,Leeds,LS1 4DY,+44 7010451383,adam.collins15525@example.com,"0",2,,,,,,,,
14237,Thomas,Wright,"496 Lake Drive",Apt 21C,Merseyside,Liverpool,L1 8JQ,+44 7010459302,thomas.wright14237@example.com,"0",2,,,,,,,,
17905,Zoe,Clark,"89 Victoria Lane","",Merseyside,Liverpool,L1 8JQ,+44 7010467221,zoe.clark17905@example.com,"1",2,,,,,,,,
15485,Logan,Davies,"246 Cedar Avenue",Apt 3D,West Midlands,Birmingham,B1 1AA,+44 7010475140,logan.davies15485@example.com,"1",2,,,,,,,,
12433,Emily,Edwards,"73 High Terrace",Apt 19A,Vestland,Bergen,"5003",+47 410483059,emily.edwards12433@example.com,"1",7,,,,,,,,
16955,Michael,Phillips,"370 Victoria Terrace",Apt 14B,Merseyside,Liverpool,L1 8JQ,+44 7010490978,michael.phillips16955@example.com,"1",2,,,,,,,,
15350,Jack,Hall,"39 Cedar Way",Apt 13B,West Yorkshire,Leeds,LS1 4DY,+44 7010498897,jack.hall15350@example.com,"1",2,,,,,,,,
15605,William,Morgan,"938 Cedar Street","",West Yorkshire,Leeds,LS1 4DY,+44 7010506816,william.morgan15605@example.com,"1",2,,,,,,,,
18144,William,Turner,"276 Cedar Way","",West Yorkshire,Leeds,LS1 4DY,+44 7010514735,william.turner18144@example.com,"1",2,,,,,,,,
15922,Emily,Adams,"984 Hill Drive",Apt 16A,West Midlands,Birmingham,B1 1AA,+44 7010522654,emily.adams15922@example.com,"1",2,,,,,,,,
14594,Olivia,Green,"80 Maple Street",Apt 7A,Merseyside,Liverpool,L1 8JQ,+44 7010530573,olivia.green14594@example.com,"1",2,,,,,,,,
15165,Mia,Clark,"695 Queen Lane",Apt 9C,Merseyside,Liverpool,L1 8JQ,+44 7010538492,mia.clark15165@example.com,"1",2,,,,,,,,
14911,Joseph,Cook,"745 Queen Avenue",Apt 4A,County Dublin,Dublin,D02 X285,+353 810546411,joseph.cook14911@example.com,"0",8,,,,,,,,
16456,David,Adams,"742 High Road",Apt 21B,West Midlands,Birmingham,B1 1AA,+44 7010554330,david.adams16456@example.com,"1",2,,,,,,,,
17841,Ryan,Young,"624 Queen Street","",Greater London,London,SW1A 1AA,+44 7010562249,ryan.young17841@example.com,"0",2,,,,,,,,
12472,Adam,Baker,"673 Park Street",Apt 16A,North Rhine-Westphalia,Cologne,"50667",+49 1510570168,adam.baker12472@example.com,"1",6,,,,,,,,
17346,Sophie,Turner,"455 Church Drive",Apt 18D,West Yorkshire,Leeds,LS1 4DY,+44 7010578087,sophie.turner17346@example.com,"0",2,,,,,,,,
17643,Chloe,Reed,"882 Station Road","",West Yorkshire,Leeds,LS1 4DY,+44 7010586006,chloe.reed17643@example.com,"1",2,,,,,,,,
17873,Isabella,Turner,"694 Cedar Way","",West Yorkshire,Leeds,LS1 4DY,+44 7010593925,isabella.turner17873@example.com,"1",2,,,,,,,,
13093,Charlotte,Campbell,"826 Market Way","",West Midlands,Birmingham,B1 1AA,+44 7010601844,charlotte.campbell13093@example.com,"1",2,,,,,,,,
12921,Ryan,Hall,"539 High Road","",Merseyside,Liverpool,L1 8JQ,+44 7010609763,ryan.hall12921@example.com,"1",2,,,,,,,,
13468,Zoe,Morris,"717 Garden Court",Apt 1A,West Yorkshire,Leeds,LS1 4DY,+44 7010617682,zoe.morris13468@example.com,"0",2,,,,,,,,
17760,Jack,Nelson,"323 Spring Way",Apt 17C,West Midlands,Birmingham,B1 1AA,+44 7010625601,jack.nelson17760@example.com,"0",2,,,,,,,,
16928,Laura,Morris,"729 Lake Drive","",West Yorkshire,Leeds,LS1 4DY,+44 7010633520,laura.morris16928@example.com,"1",2,,,,,,,,
16048,Ava,Garcia,"770 Bridge Avenue","",Greater Manchester,Manchester,M1 2AB,+44 7010641439,ava.garcia16048@example.com,"1",2,,,,,,,,
16274,Grace,Reed,"547 Baker Drive",Apt 7C,West Yorkshire,Leeds,LS1 4DY,+44 7010649358,grace.reed16274@example.com,"0",2,,,,,,,,
14496,Sophie,Martin,"735 Bridge Avenue","",Greater Manchester,Manchester,M1 2AB,+44 7010657277,sophie.martin14496@example.com,"1",2,,,,,,,,
14696,Ruby,Allen,"139 Garden Road",Apt 19C,Greater London,London,SW1A 1AA,+44 7010665196,ruby.allen14696@example.com,"0",2,,,,,,,,
16539,Jacob,Perez,"998 Maple Drive",Apt 16A,West Yorkshire,Leeds,LS1 4DY,+44 7010673115,jacob.perez16539@example.com,"1",2,,,,,,,,
17025,Lily,Campbell,"654 Maple Avenue","",Greater London,London,SW1A 1AA,+44 7010681034,lily.campbell17025@example.com,"1",2,,,,,,,,
13777,Ella,Davies,"131 Bridge Terrace",Apt 20B,Merseyside,Liverpool,L1 8JQ,+44 7010688953,ella.davies13777@example.com,"0",2,,,,,,,,
17690,Michael,Perez,"314 Spring Terrace","",Merseyside,Liverpool,L1 8JQ,+44 7010696872,michael.perez17690@example.com,"0",2,,,,,,,,
12947,Olivia,Morgan,"111 High Lane","",Merseyside,Liverpool,L1 8JQ,+44 7010704791,olivia.morgan12947@example.com,"0",2,,,,,,,,
17460,Benjamin,Clark,"86 Church Street",Apt 23D,Greater London,London,SW1A 1AA,+44 7010712710,benjamin.clark17460@example.com,"1",2,,,,,,,,
18229,Lucas,Anderson,"299 Lake Road",Apt 9B,West Midlands,Birmingham,B1 1AA,+44 7010720629,lucas.anderson18229@example.com,"1",2,,,,,,,,
14142,Ava,Edwards,"162 Market Avenue","",West Yorkshire,Leeds,LS1 4DY,+44 7010728548,ava.edwards14142@example.com,"1",2,,,,,,,,
17069,Ella,Cook,"592 Victoria Court","",Greater Manchester,Manchester,M1 2AB,+44 7010736467,ella.cook17069@example.com,"0",2,,,,,,,,
13065,Ryan,Nelson,"522 Bridge Court",Apt 20A,West Midlands,Birmingham,B1 1AA,+44 7010744386,ryan.nelson13065@example.com,"0",2,,,,,,,,
14606,Laura,King,"36 King Lane",Apt 19A,West Yorkshire,Leeds,LS1 4DY,+44 7010752305,laura.king14606@example.com,"1",2,,,,,,,,
16835,David,Brown,"189 Garden Court",Apt 6D,West Midlands,Birmingham,B1 1AA,+44 7010760224,david.brown16835@example.com,"0",2,,,,,,,,
15235,Sophia,Phillips,"351 Park Road",Apt 11D,West Yorkshire,Leeds,LS1 4DY,+44 7010768143,sophia.phillips15235@example.com,"1",2,,,,,,,,
13576,Ethan,Nelson,"573 Maple Court","",West Yorkshire,Leeds,LS1 4DY,+44 7010776062,ethan.nelson13576@example.com,"0",2,,,,,,,,
18011,Alexander,Thomas,"423 Main Street",Apt 18D,West Midlands,Birmingham,B1 1AA,+44 7010783981,alexander.thomas18011@example.com,"0",2,,,,,,,,
13090,Olivia,Garcia,"647 Garden Court",Apt 7C,West Yorkshire,Leeds,LS1 4DY,+44 7010791900,olivia.garcia13090@example.com,"1",2,,,,,,,,
15694,William,Allen,"725 Garden Road","",Merseyside,Liverpool,L1 8JQ,+44 7010799819,william.allen15694@example.com,"1",2,,,,,,,,
14741,Isabella,Wright,"24 Bridge Terrace","",Merseyside,Liverpool,L1 8JQ,+44 7010807738,isabella.wright14741@example.com,"1",2,,,,,,,,
13715,Hannah,Thomas,"167 Garden Drive",Apt 9D,Greater London,London,SW1A 1AA,+44 7010815657,hannah.thomas13715@example.com,"1",2,,,,,,,,
14092,Jacob,Clark,"158 Cedar Lane",Apt 17B,West Yorkshire,Leeds,LS1 4DY,+44 7010823576,jacob.clark14092@example.com,"1",2,,,,,,,,
17732,Grace,Carter,"816 Main Drive",Apt 10C,Greater London,London,SW1A 1AA,+44 7010831495,grace.carter17732@example.com,"1",2,,,,,,,,
12855,Alice,Campbell,"467 Bridge Court","",Merseyside,Liverpool,L1 8JQ,+44 7010839414,alice.campbell12855@example.com,"0",2,,,,,,,,
15752,Owen,Edwards,"965 Park Lane",Apt 8D,Merseyside,Liverpool,L1 8JQ,+44 7010847333,owen.edwards15752@example.com,"1",2,,,,,,,,
17855,Elena,Carter,"772 Garden Terrace",Apt 22B,Greater Manchester,Manchester,M1 2AB,+44 7010855252,elena.carter17855@example.com,"1",2,,,,,,,,
14047,Lucas,Roberts,"614 Park Road",Apt 15A,West Yorkshire,Leeds,LS1 4DY,+44 7010863171,lucas.roberts14047@example.com,"1",2,,,,,,,,
17925,Hannah,Smith,"429 River Road",Apt 9C,Merseyside,Liverpool,L1 8JQ,+44 7010871090,hannah.smith17925@example.com,"0",2,,,,,,,,
13941,Ryan,Nelson,"882 Park Terrace",Apt 21D,Merseyside,Liverpool,L1 8JQ,+44 7010879009,ryan.nelson13941@example.com,"1",2,,,,,,,,
17017,Lucas,Morgan,"656 Victoria Lane",Apt 14A,Merseyside,Liverpool,L1 8JQ,+44 7010886928,lucas.morgan17017@example.com,"1",2,,,,,,,,
14135,Thomas,Wright,"935 Oak Street","",Greater London,London,SW1A 1AA,+44 7010894847,thomas.wright14135@example.com,"0",2,,,,,,,,
13108,Ethan,Green,"159 Station Terrace",Apt 6B,Greater London,London,SW1A 1AA,+44 7010902766,ethan.green13108@example.com,"1",2,,,,,,,,
12471,Sophia,Morgan,"644 Station Court",Apt 5B,Bavaria,Munich,"80331",+49 1510910685,sophia.morgan12471@example.com,"0",6,,,,,,,,
15601,Leo,Lewis,"692 Oak Court",Apt 22B,West Yorkshire,Leeds,LS1 4DY,+44 7010918604,leo.lewis15601@example.com,"1",2,,,,,,,,
13418,Thomas,Green,"316 Hill Drive",Apt 10B,Greater London,London,SW1A 1AA,+44 7010926523,thomas.green13418@example.com,"0",2,,,,,,,,
14766,Jacob,Evans,"595 Mill Drive",Apt 10A,West Yorkshire,Leeds,LS1 4DY,+44 7010934442,jacob.evans14766@example.com,"1",2,,,,,,,,
15658,Grace,Smith,"712 Maple Court",Apt 10B,West Yorkshire,Leeds,LS1 4DY,+44 7010942361,grace.smith15658@example.com,"1",2,,,,,,,,
14388,Samuel,Anderson,"645 Market Avenue",Apt 21A,Merseyside,Liverpool,L1 8JQ,+44 7010950280,samuel.anderson14388@example.com,"1",2,,,,,,,,
14901,Thomas,Brown,"759 River Road",Apt 11D,West Midlands,Birmingham,B1 1AA,+44 7010958199,thomas.brown14901@example.com,"1",2,,,,,,,,
18041,Henry,Roberts,"907 Mill Drive",Apt 9D,Greater Manchester,Manchester,M1 2AB,+44 7010966118,henry.roberts18041@example.com,"0",2,,,,,,,,
15955,Laura,Scott,"489 King Avenue",Apt 8D,West Midlands,Birmingham,B1 1AA,+44 7010974037,laura.scott15955@example.com,"0",2,,,,,,,,
15070,Sophie,Davies,"24 Market Road",Apt 22C,Merseyside,Liverpool,L1 8JQ,+44 7010981956,sophie.davies15070@example.com,"0",2,,,,,,,,
16244,Michael,Baker,"249 Garden Street",Apt 18C,Merseyside,Liverpool,L1 8JQ,+44 7010989875,michael.baker16244@example.com,"1",2,,,,,,,,
15111,Jack,Wilson,"485 Victoria Terrace","",Merseyside,Liverpool,L1 8JQ,+44 7010997794,jack.wilson15111@example.com,"1",2,,,,,,,,
14390,Lucas,Young,"128 Queen Lane",Apt 5D,Greater London,London,SW1A 1AA,+44 7011005713,lucas.young14390@example.com,"0",2,,,,,,,,
16546,Sophie,Edwards,"770 River Terrace",Apt 16D,West Yorkshire,Leeds,LS1 4DY,+44 7011013632,sophie.edwards16546@example.com,"1",2,,,,,,,,
15260,Lucas,Baker,"465 Station Way","",West Midlands,Birmingham,B1 1AA,+44 7011021551,lucas.baker15260@example.com,"1",2,,,,,,,,
13305,Logan,Green,"292 High Road",Apt 15A,West Midlands,Birmingham,B1 1AA,+44 7011029470,logan.green13305@example.com,"1",2,,,,,,,,
14491,Nora,Cook,"61 Park Lane",Apt 19B,Greater Manchester,Manchester,M1 2AB,+44 7011037389,nora.cook14491@example.com,"0",2,,,,,,,,
14060,Owen,Morris,"231 Station Way",Apt 20A,Greater London,London,SW1A 1AA,+44 7011045308,owen.morris14060@example.com,"1",2,,,,,,,,
15923,Mia,Roberts,"827 Church Road",Apt 1B,West Midlands,Birmingham,B1 1AA,+44 7011053227,mia.roberts15923@example.com,"1",2,,,,,,,,
16752,Samuel,Clark,"26 Church Drive","",Greater London,London,SW1A 1AA,+44 7011061146,samuel.clark16752@example.com,"1",2,,,,,,,,
17287,Eva,Thomas,"497 Lake Way",Apt 4D,West Yorkshire,Leeds,LS1 4DY,+44 7011069065,eva.thomas17287@example.com,"0",2,,,,,,,,
15363,Jack,Morgan,"812 Main Drive",Apt 1A,Merseyside,Liverpool,L1 8JQ,+44 7011076984,jack.morgan15363@example.com,"1",2,,,,,,,,
12915,Lily,Mitchell,"512 Lake Road",Apt 11B,West Yorkshire,Leeds,LS1 4DY,+44 7011084903,lily.mitchell12915@example.com,"0",2,,,,,,,,
15544,William,Hall,"609 Bridge Way",Apt 20C,Greater London,London,SW1A 1AA,+44 7011092822,william.hall15544@example.com,"1",2,,,,,,,,
15738,Matthew,Cook,"822 Queen Lane",Apt 8D,West Yorkshire,Leeds,LS1 4DY,+44 7011100741,matthew.cook15738@example.com,"1",2,,,,,,,,
16042,Hannah,Nelson,"107 Park Terrace","",West Midlands,Birmingham,B1 1AA,+44 7011108660,hannah.nelson16042@example.com,"1",2,,,,,,,,
17381,Sophie,Walker,"495 King Road",Apt 3D,West Midlands,Birmingham,B1 1AA,+44 7011116579,sophie.walker17381@example.com,"0",2,,,,,,,,
15827,Laura,Baker,"579 Maple Way",Apt 14C,Greater London,London,SW1A 1AA,+44 7011124498,laura.baker15827@example.com,"0",2,,,,,,,,
14180,Nathan,Taylor,"624 Victoria Way","",West Yorkshire,Leeds,LS1 4DY,+44 7011132417,nathan.taylor14180@example.com,"0",2,,,,,,,,
13117,Amelia,Walker,"239 Queen Way",Apt 12A,Merseyside,Liverpool,L1 8JQ,+44 7011140336,amelia.walker13117@example.com,"0",2,,,,,,,,
16916,David,Anderson,"875 Bridge Street",Apt 22C,West Midlands,Birmingham,B1 1AA,+44 7011148255,david.anderson16916@example.com,"0",2,,,,,,,,
17964,Charlotte,Hall,"326 Park Way","",Greater London,London,SW1A 1AA,+44 7011156174,charlotte.hall17964@example.com,"0",2,,,,,,,,
14466,David,Nelson,"768 Oak Road",Apt 7D,Greater Manchester,Manchester,M1 2AB,+44 7011164093,david.nelson14466@example.com,"1",2,,,,,,,,
17235,Hannah,Scott,"329 Park Road",Apt 5B,West Yorkshire,Leeds,LS1 4DY,+44 7011172012,hannah.scott17235@example.com,"1",2,,,,,,,,
16510,Olivia,Davies,"687 Hill Court",Apt 14C,Merseyside,Liverpool,L1 8JQ,+44 7011179931,olivia.davies16510@example.com,"1",2,,,,,,,,
17802,Owen,Parker,"450 Queen Drive",Apt 19D,Greater Manchester,Manchester,M1 2AB,+44 7011187850,owen.parker17802@example.com,"1",2,,,,,,,,
15107,Adam,Young,"414 Baker Street","",Merseyside,Liverpool,L1 8JQ,+44 7011195769,adam.young15107@example.com,"1",2,,,,,,,,
17976,Amelia,Roberts,"306 Park Road","",West Midlands,Birmingham,B1 1AA,+44 7011203688,amelia.roberts17976@example.com,"0",2,,,,,,,,
14449,Charlotte,Roberts,"730 Station Way","",West Yorkshire,Leeds,LS1 4DY,+44 7011211607,charlotte.roberts14449@example.com,"1",2,,,,,,,,
15838,Chloe,Johnson,"89 Park Terrace",Apt 23D,Greater London,London,SW1A 1AA,+44 7011219526,chloe.johnson15838@example.com,"1",2,,,,,,,,
16781,Ava,Nelson,"342 Church Court",Apt 12A,West Midlands,Birmingham,B1 1AA,+44 7011227445,ava.nelson16781@example.com,"1",2,,,,,,,,
17547,Liam,Clark,"420 Main Road",Apt 10C,West Yorkshire,Leeds,LS1 4DY,+44 7011235364,liam.clark17547@example.com,"1",2,,,,,,,,
13491,Emily,Wright,"658 Queen Lane",Apt 12C,Greater Manchester,Manchester,M1 2AB,+44 7011243283,emily.wright13491@example.com,"1",2,,,,,,,,
16186,Isabella,Evans,"212 Church Avenue",Apt 21A,Greater Manchester,Manchester,M1 2AB,+44 7011251202,isabella.evans16186@example.com,"1",2,,,,,,,,
17685,Elena,Campbell,"587 Spring Court",Apt 19C,Greater Manchester,Manchester,M1 2AB,+44 7011259121,elena.campbell17685@example.com,"1",2,,,,,,,,
17581,Mia,Perez,"462 Victoria Drive",Apt 12A,West Midlands,Birmingham,B1 1AA,+44 7011267040,mia.perez17581@example.com,"1",2,,,,,,,,
15732,Hannah,Perez,"387 Victoria Road",Apt 3D,West Midlands,Birmingham,B1 1AA,+44 7011274959,hannah.perez15732@example.com,"1",2,,,,,,,,
13138,Alice,Morris,"766 Maple Court",Apt 19B,West Yorkshire,Leeds,LS1 4DY,+44 7011282878,alice.morris13138@example.com,"0",2,,,,,,,,
15823,Joseph,Phillips,"990 Maple Court","",West Midlands,Birmingham,B1 1AA,+44 7011290797,joseph.phillips15823@example.com,"1",2,,,,,,,,
17567,Clara,Davies,"186 Maple Lane",Apt 15B,West Midlands,Birmingham,B1 1AA,+44 7011298716,clara.davies17567@example.com,"1",2,,,,,,,,
15061,Sophie,Allen,"803 Park Street",Apt 21C,West Midlands,Birmingham,B1 1AA,+44 7011306635,sophie.allen15061@example.com,"1",2,,,,,,,,
16203,Emily,Evans,"405 Victoria Drive",Apt 22B,Greater London,London,SW1A 1AA,+44 7011314554,emily.evans16203@example.com,"1",2,,,,,,,,
15640,Sophia,Reed,"948 Mill Drive",Apt 23D,West Midlands,Birmingham,B1 1AA,+44 7011322473,sophia.reed15640@example.com,"0",2,,,,,,,,
15574,Joseph,Davies,"395 Park Avenue",Apt 24A,Greater Manchester,Manchester,M1 2AB,+44 7011330392,joseph.davies15574@example.com,"1",2,,,,,,,,
16770,Matthew,Baker,"326 Church Lane","",West Yorkshire,Leeds,LS1 4DY,+44 7011338311,matthew.baker16770@example.com,"1",2,,,,,,,,
17838,Henry,Anderson,"168 King Drive",Apt 4A,West Yorkshire,Leeds,LS1 4DY,+44 7011346230,henry.anderson17838@example.com,"0",2,,,,,,,,
17228,Elena,Morgan,"395 River Avenue","",West Midlands,Birmingham,B1 1AA,+44 7011354149,elena.morgan17228@example.com,"1",2,,,,,,,,
14829,Benjamin,Perez,"383 Station Court",Apt 24D,Merseyside,Liverpool,L1 8JQ,+44 7011362068,benjamin.perez14829@example.com,"1",2,,,,,,,,
17412,Logan,Clark,"838 Garden Lane",Apt 19D,Greater Manchester,Manchester,M1 2AB,+44 7011369987,logan.clark17412@example.com,"1",2,,,,,,,,
14031,Elena,Allen,"524 Main Terrace",Apt 7B,West Yorkshire,Leeds,LS1 4DY,+44 7011377906,elena.allen14031@example.com,"0",2,,,,,,,,
14775,Olivia,Phillips,"577 Queen Road","",West Midlands,Birmingham,B1 1AA,+44 7011385825,olivia.phillips14775@example.com,"0",2,,,,,,,,
